species,id,biomass,biomass_dry,tl,C,N,P,location,source,Species,Family,max_size
Ctenochaetus_striatus,37,105.8,27.17,14.4,45.5289141,8.7894166169,3.6991345828,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,43,131.4,38.15,15.1,45.9655623932,9.5498395004,2.6998320196,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,48,119.9,34.33,15,52.5419857613,9.49846496,2.9305872317,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,65,15.5,3.5,7.2,40.573268,10.6180821,3.203771498,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,99,84.4,20.45,13.5,38.222,7.719,3.7162757323,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,101,49.3,9.99,10.1,41.10433,9.9470333,3.9936330749,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,103,41.8,9.43,9.7,35.999270494,9.8202791916,4.3653022872,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,105,14.8,3.42,7.9,42.4617252,9.8822507,5.117786976,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,106,31.3,5.57,9.6,38.4711020661,9.9396420927,4.2815785253,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,139,134.1,31.32,15.2,42.9951154518,8.5859595994,3.9131328221,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,148,175,44.82,17.7,43.1872426736,8.6645699386,4.0221182329,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,158,37.6,8.95,10,38.117,8.992,4.5907832072,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,165,47.8,11.87,10.8,45.2280837215,9.598,3.9691120124,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,166,50.3,11.73,10.6,43.3906395,8.8599472,3.5106462355,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,226,149.5,38.31,16.1,49.1314569,10.3102001,2.517856525,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,227,130.9,36,15.1,45.418,8.089,3.5251241701,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,252,41.6,11.51,10.9,41.2073219,10.6324781,3.3835883701,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,266,127.5,36.33,15.2,42.4121016,7.949591638,3.6410679271,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,267,126.8,33.36,14.9,44.9664865,8.2509823133,2.7235907706,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,268,142.2,37.72,15.4,44.823,8.402,3.656479417,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,269,140.8,32.53,15.7,46.557,8.178,3.9501327028,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,272,133.1,35.66,16.2,44.2181523132,8.8728686747,3.7860703196,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,273,141.7,36.92,15.5,46.8985583,9.1903478,3.7491844554,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,308,146.6,28.3,15,46.4517145,7.6894468,3.067091954,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,310,169.2,38.8,15.5,46.3844103,9.5984112,4.1904471953,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,317,104.1,21.56,14.3,41.5908092217,9.9770275046,4.1475812617,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,318,144.4,32.7,15.7,44.3389856,8.3723459,2.9677604594,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,340,7,0.92,5.5,33.9964127397,9.026,4.8024308539,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,342,138.2,26.9,15.3,46.2212848,8.7650012705,3.887284646,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,362,110.7,33.47,14.8,41.5698639285,8.5911295457,3.4869489399,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,374,106.2,29.62,14.8,43.3223487662,9.5517453448,3.0619854098,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,421,82.6,21.83,13.5,40.2527817552,10.0434123217,3.4795153395,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,429,206.6,66.28,17.1,44.0919231878,8.7488770141,2.8543782821,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,430,94.8,28.12,14.7,38.8852521,9.8462078049,3.5928989586,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,602,134.5,35.42,14.6,43.5992174625,7.1967313033,3.8922012015,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,605,119.6,35.71,15.8,42.1138045,8.386952,2.5138637702,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,606,135.6,40.51,14.6,47.7322335282,9.7332487998,2.8550836268,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,621,179.7,40.5,15.8,39.9088634991,7.415,3.0482253864,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,622,181.5,41.81,16,38.9135863869,7.4467550592,2.6686826114,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,788,129.3,35.77,13.6,38.245,7.461,6.0254372019,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,789,119.8,33.34,13.3,36.6060401,5.751617516,4.011769628,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,790,116.4,30.31,13.4,42.6805761,7.6621333,3.4860152279,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,791,117.6,30.75,13,46.3088478,8.5032644,3.773491639,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,797,113.7,28.01,13.2,34.7593183,7.2878545,3.9587885665,Moorea,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,10_PA_2017,125.3,32.82,14,41.2672347048,8.6313450778,6.030354732,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,101_PA_2017,116.8,37.81,14,48.7044585077,7.9120955057,3.754761597,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,11_PA_2017,52.2,12.38,10.5,37.6595283276,9.9586319824,4.121835932,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,12_PA_2017,88.4,25.31,12.5,43.2938399486,7.9043743711,4.1986977847,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,122_PA_2017,114.1,24.77,14.2,33.6039012287,10.0789882396,4.024280465,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,123_PA_2017,95.8,22.79,14,26.961496557,8.1708876454,4.5061217247,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,124_PA_2017,87.8,20.7,13,33.5126286849,9.4684335804,3.7796686446,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,125_PA_2017,134.7,35.21,14.3,38.2035899798,8.8856945809,3.6379073769,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,126_PA_2017,72.1,17.61,12.6,38.4771708258,9.6252026037,4.2537159254,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,15_PA_2017,76.6,22.68,13.5,41.1723691374,8.0097711134,3.5167894605,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,17_PA_2017,94.1,28.37,13.5,38.5462583753,10.4976114544,3.5269404872,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,31_PA_2017,99.2,26.53,14,41.2903925262,8.9441649701,4.1209922192,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,32_PA_2017,86,27.15,12,48.1196461925,9.3746981122,4.1176722147,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,33_PA_2017,107.2,30.32,14,45.4765161601,9.5210444005,3.3501090578,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,34_PA_2017,123.3,33.27,15,42.8387185742,9.445842586,4.105548918,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,35_PA_2017,112.6,31.87,15,40.8165058397,8.7917850604,2.9403009536,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,36_PA_2017,79.4,18.99,12,35.0252709378,8.8973146068,5.1369562878,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,37_PA_2017,111.5,29.22,14,41.9110188964,8.6214952921,3.8985997291,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,49_PA_2017,161.6,52.41,14.3,47.7928766607,7.8518010308,2.6921298623,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Ctenochaetus_striatus,68_PA_2017,123.2,37.71,14,42.5631968352,8.5779932614,3.6101561031,Palmyra,Deron_Burkepile,Ctenochaetus striatus,Acanthuridae,26
Naso_lituratus,414,115.9,35.77,16.2,36.3065122957,7.9679111209,4.6909633419,Moorea,Deron_Burkepile,Naso lituratus,Acanthuridae,46
Naso_lituratus,132_PA_2017,306.4,86.12,20,35.2839529791,7.8484805529,3.5630118545,Palmyra,Deron_Burkepile,Naso lituratus,Acanthuridae,46
Naso_lituratus,40_PA_2017,583.5,165.78,26,38.5659924627,8.7990508773,4.042014696,Palmyra,Deron_Burkepile,Naso lituratus,Acanthuridae,46
Naso_lituratus,77_PA_2017,153.8,34.31,16.7,42.7255466082,10.8684274451,5.1367720445,Palmyra,Deron_Burkepile,Naso lituratus,Acanthuridae,46
Naso_lituratus,78_PA_2017,NA,227.4,17.3,34.4430157174,8.8045112599,5.1137917648,Palmyra,Deron_Burkepile,Naso lituratus,Acanthuridae,46
Naso_lituratus,23_PA_2017,NA,314.23,30,43.7310231652,7.4844191776,5.1443449064,Palmyra,Deron_Burkepile,Naso lituratus,Acanthuridae,46
Zebrasoma_scopas,21,99.3,22.23,14,29.5858934,7.9552862,6.0189547083,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,31,116.2,28.36,15.2,33.1184579,8.4693313918,6.843283856,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,137,84,21.49,12.1,29.4597664138,6.9898399509,6.6835774914,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,138,78.9,16.64,13.1,26.03,7.581,7.0730898054,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,143,110.4,26.7,14.9,24.5361848941,6.9137512359,5.6006590152,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,144,77,16.71,12.4,31.7086775862,9.044502467,5.9178588791,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,145,120.7,32.33,14.7,31.0530938843,7.1313935208,6.7384887073,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,164,65.1,16.1,11.4,27.959,7.138,6.7556315273,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,178,69,17.57,12,30.9522034,7.5562709,7.1188790987,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,182,104.9,25.87,14.4,37.923387,8.5351384,5.3190824821,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,257,70.6,15.48,11.9,26.2399836,6.3899887,7.7486710762,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,270,106.5,26.01,14.4,36.4402905871,9.2138042419,3.3657725675,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,271,104.9,34.11,15.1,34.2584633152,8.6847124743,6.0170571513,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,274,105.1,28.34,14.5,40.37,8.549,4.4842365547,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,300,64.3,13.46,11.9,33.128,8.557,5.8425195607,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,301,75.3,17.34,12.1,31.664,8.248,6.6794660518,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,309,120.2,24.19,14.3,31.6287842,7.1206803,6.95220806,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,597,62.5,18.33,11,37.1033092657,9.1419741811,5.2662712338,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,598,53.6,13.92,10.7,27.9822598,8.1112383819,7.5063153355,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,599,97.2,26.43,13.8,30.645,9.095,7.6526057969,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,603,60,16.79,11.5,34.5685338,8.3040094,5.96542386,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,604,132.8,38.05,14.3,31.4182406,8.4190510543,6.1114262759,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,623,119.5,36.44,13.8,30.4279553839,7.4625598718,6.9010806966,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,778,66.7,18.54,10.7,26.4185959,6.9727639,5.096396307,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,780,97.1,26.11,12.3,30.501,7.471,4.3615537501,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,782,106.1,26.16,12.6,28.105,7.094,7.6076746249,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,784,111.8,31.15,12.9,35.0679846,8.7965437,7.361040104,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,787,107.1,33.87,12.7,31.209,7.133,6.0383950329,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,861,0.8,0.18,2.5,37.6910533741,10.5296460949,3.3320642663,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,1434,120.3,33.57,13.4,35.645,7.506,3.7079766061,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,1435,126,32.53,13.8,34.734,6.997,5.7168595366,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,1436,106,24.19,12.8,23.2730865262,6.2752710639,6.3908235759,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,1437,102.4,27.67,12.6,30.3900718,6.2289407,5.4734342193,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,1438,77.1,20.05,11.5,32.812580559,7.9114974624,5.9700309347,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,1439,75.2,20.16,11.7,33.7732860858,7.4864918247,6.0072750932,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,1440,75.8,19.45,11.8,33.047304296,8.111,5.4472508126,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Zebrasoma_scopas,1584,54.4,11.03,10.5,32.6251162739,6.8986540771,5.8755211601,Moorea,Deron_Burkepile,Zebrasoma scopas,Acanthuridae,40
Balistapus_undulatus,102,99.7,25.04,13.9,27.4247789,8.2984844,6.5690801448,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,656,2.8,0.69,3.5,31.9583037,9.346139,3.7839554392,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1135,155.5,46.46,15.2,33.3926385,8.2807305918,6.109275059,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1136,175.2,52.11,15,32.4306577448,8.7832294114,7.509560511,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1187,181.9,52.99,15.5,34.2458588,9.8542094,3.7325485838,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1188,173.9,46.83,15.7,28.467,7.459,6.7779641141,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1189,166.4,48.2,15.5,31.061938482,8.384542194,5.4695549145,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1191,318.1,100.67,18.7,40.6202578,10.3452405,6.862740885,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1212,161,50.15,14.1,37.6165968,8.8515228,5.5326313958,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1220,305.4,104.18,17.9,40.6638027451,10.0689059424,4.1315358053,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1233,140.8,42.31,13.2,31.6972228,10.0042339793,5.7679605298,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1241,86,27.96,12.4,27.0442489505,7.2438288805,3.526664645,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1247,285.9,83.11,18,34.3887473093,9.9884660011,5.5467534219,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1248,267.6,79.51,18.4,31.8862729,9.5858612,5.0288530073,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1249,159.1,59.69,14.9,34.0935494,9.2277916469,5.6827311509,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1274,170.7,51.26,15.3,34.9108061,9.0738478,5.383556897,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1288,174.4,55.07,15.5,32.9643193,8.2043301,6.393554734,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1363,159,48.6,15.5,32.8975068,8.6101958,6.186009842,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1365,365.9,104.07,20.5,28.4047946,8.1027795065,5.489830879,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1441,66.5,17.22,11.8,26.2946656762,8.0910928832,7.1095755155,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1488,105,35.31,13.3,40.579,10.068,3.4020932832,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1496,94.7,29.08,12.9,29.496,8.43,4.5959400286,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1498,417.9,132.65,21.1,27.9994933,8.1681651,6.4825664119,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1499,127.6,40.81,14.5,32.6925379,9.7621828,8.5056144184,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1500,142,50.41,14.5,33.6026181134,8.705270235,7.3128818574,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1501,142.6,44.63,14.8,38.6974846962,10.298568786,2.8068410463,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1503,145.6,48.72,14.9,31.3889883045,8.3076196713,4.451275603,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1505,79.7,24.44,12.1,29.9670854938,9.516922817,6.9399322517,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Balistapus_undulatus,1510,221.5,78.47,17.1,28.8034746452,7.7971638542,5.329497327,Moorea,Deron_Burkepile,Balistapus undulatus,Balistidae,30
Melichthys_vidua,79,264.6,64.32,20,36.0599104,10.8351046996,5.6731900663,Moorea,Deron_Burkepile,Melichthys vidua,Balistidae,40
Melichthys_vidua,600,160.6,40.97,15.1,31.8849441,9.0634833827,7.050767106,Moorea,Deron_Burkepile,Melichthys vidua,Balistidae,40
Melichthys_vidua,1145,326.7,90.29,20.1,34.5611217089,9.900833002,4.6343555392,Moorea,Deron_Burkepile,Melichthys vidua,Balistidae,40
Melichthys_vidua,1289,206.2,52.85,16.4,34.2390478,9.766114,3.6966781977,Moorea,Deron_Burkepile,Melichthys vidua,Balistidae,40
Melichthys_vidua,1369,313,83.37,19.1,32.4575438,9.3501559,7.1340194046,Moorea,Deron_Burkepile,Melichthys vidua,Balistidae,40
Melichthys_vidua,1371,225.8,54.03,17.4,31.6573463,8.7554713284,4.722435139,Moorea,Deron_Burkepile,Melichthys vidua,Balistidae,40
Melichthys_vidua,1447,329.1,74.22,18.5,33.4060223,9.0989627861,5.827628116,Moorea,Deron_Burkepile,Melichthys vidua,Balistidae,40
Odonus_niger,1190,109.5,29.37,14.4,33.4752115821,9.1076938312,4.8867815008,Moorea,Deron_Burkepile,Odonus niger,Balistidae,50
Rhinecanthus_aculeatus,1137,186.7,51.58,16.5,31.1978384777,9.6721009071,6.3580191147,Moorea,Deron_Burkepile,Rhinecanthus aculeatus,Balistidae,30
Rhinecanthus_aculeatus,149_17,142.8,45.94,15.3,28.656457029,7.5444231,6.3026675729,Moorea,Deron_Burkepile,Rhinecanthus aculeatus,Balistidae,30
Rhinecanthus_aculeatus,52_17,138.9,41.27,15.1,34.566431467,9.96,5.2569461225,Moorea,Deron_Burkepile,Rhinecanthus aculeatus,Balistidae,30
Rhinecanthus_aculeatus,53_17,133.8,41.01,14.7,30.845051633,8.2,6.4007170788,Moorea,Deron_Burkepile,Rhinecanthus aculeatus,Balistidae,30
Sufflamen_bursa,19,77.4,22.94,13,30.6257507875,7.9809018241,7.2648311538,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,68,74.4,20.11,12.5,33.3901701,8.6452049951,6.0682229724,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,109,51.1,12.87,11,32.939,9.31,3.6630450245,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,110,70.8,18.89,12.8,34.4748991682,10.0257844582,6.0025233669,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,111,55.2,14.45,11.3,33.634,8.67,5.9529101623,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,115,59.4,15.89,11.8,31.4829954663,9.4862493397,3.9393509739,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,168,131,32.4,15.2,34.683,8.872,5.8466874752,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,228,129.5,38.35,15.1,36.9995988,9.0510589,5.6774212575,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,255,66.7,18.13,11.8,35.821,9.351,4.906325074,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,366,106.9,33.77,14.4,30.9320242,8.6655280804,5.5584323842,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,426,64.4,18.71,12.5,24.7218903615,7.2124893177,5.4110152036,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,427,88,26.29,13.5,31.2280403732,9.0808972448,5.6792866147,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,632,77.4,20.67,11.9,26.2479864088,6.972,5.3872524931,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,957,97.5,32.26,13.3,31.4604011739,7.7237834068,4.44959605,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1000,91.5,29.87,12.4,36.849733166,8.7636049918,5.583345864,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1001,80.9,31.69,12.1,37.3231177,8.0115399,5.126293618,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1105,122.1,32.21,14.2,30.6439083,9.0204234,4.868881276,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1242,111.5,39.27,13.3,26.3101855216,5.7908219258,6.2105840159,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1243,80.5,25.3,12.1,31.3801965,8.044369226,8.3668631501,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1487,64.4,18.74,11.9,28.8194754815,8.547,7.4942217177,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1489,111.3,34.34,14.4,28.5429057398,8.317,7.404691373,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1575,65.3,18.47,12.5,26.3750038,7.0511515,6.0983407437,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1577,125.9,34.56,15,29.6064289814,7.3153116728,6.304622157,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
Sufflamen_bursa,1580,109.1,28.57,14,34.3904937959,7.635,5.4446928997,Moorea,Deron_Burkepile,Sufflamen bursa,Balistidae,25
